user_id,signup,kyc_completed,first_trade,repeat_trade,trade_type,signup_date,trade_date
1,1,1,0,0,,2024-01-15,
2,1,0,0,0,,2024-04-18,
3,1,0,0,0,,2024-04-25,
4,1,1,0,0,,2024-04-01,
5,1,1,0,0,,2024-05-17,
6,1,1,1,1,spot,2024-06-14,2024-06-18
7,1,1,0,0,,2024-02-16,
8,1,0,0,0,,2024-02-26,
9,1,1,0,0,,2024-02-19,
10,1,1,0,0,,2024-03-11,
11,1,1,0,0,,2024-05-22,
12,1,0,0,0,,2024-05-25,
13,1,0,0,0,,2024-03-22,
14,1,1,0,0,,2024-04-25,
15,1,1,0,0,,2024-04-14,
16,1,1,0,0,,2024-03-28,
17,1,1,0,0,,2024-01-02,
18,1,1,1,0,spot,2024-04-13,2024-04-17
19,1,1,0,0,,2024-03-24,
20,1,1,1,1,derivatives,2024-02-12,2024-02-16
21,1,1,1,1,spot,2024-06-02,2024-06-13
22,1,1,1,1,spot,2024-03-11,2024-03-16
23,1,1,1,0,derivatives,2024-06-14,2024-06-19
24,1,1,0,0,,2024-04-03,
25,1,1,0,0,,2024-02-11,
26,1,0,0,0,,2024-05-12,
27,1,1,1,1,spot,2024-05-18,2024-05-26
28,1,1,1,1,spot,2024-03-05,2024-03-14
29,1,1,0,0,,2024-02-03,
30,1,1,1,1,spot,2024-04-29,2024-05-01
31,1,1,0,0,,2024-01-01,
32,1,1,1,1,spot,2024-05-09,2024-05-20
33,1,1,0,0,,2024-05-27,
34,1,0,0,0,,2024-03-01,
35,1,0,0,0,,2024-05-28,
36,1,0,0,0,,2024-03-28,
37,1,1,0,0,,2024-03-08,
38,1,1,0,0,,2024-05-06,
39,1,1,0,0,,2024-05-19,
40,1,1,0,0,,2024-01-22,
41,1,1,1,0,derivatives,2024-05-27,2024-06-03
42,1,1,1,1,derivatives,2024-03-22,2024-03-23
43,1,1,0,0,,2024-05-08,
44,1,0,0,0,,2024-01-30,
45,1,1,1,1,derivatives,2024-05-05,2024-05-06
46,1,1,1,1,spot,2024-04-06,2024-04-10
47,1,1,0,0,,2024-01-24,
48,1,1,1,0,spot,2024-01-14,2024-01-24
49,1,1,0,0,,2024-02-05,
50,1,1,0,0,,2024-01-24,
51,1,0,0,0,,2024-04-04,
52,1,0,0,0,,2024-02-24,
53,1,0,0,0,,2024-01-24,
54,1,0,0,0,,2024-05-31,
55,1,1,1,0,derivatives,2024-01-26,2024-02-02
56,1,0,0,0,,2024-03-20,
57,1,1,0,0,,2024-06-14,
58,1,1,0,0,,2024-03-05,
59,1,1,1,0,spot,2024-03-15,2024-03-17
60,1,1,0,0,,2024-06-27,
61,1,1,0,0,,2024-06-11,
62,1,1,0,0,,2024-02-12,
63,1,0,0,0,,2024-01-29,
64,1,1,0,0,,2024-06-13,
65,1,1,0,0,,2024-03-21,
66,1,1,1,1,spot,2024-02-23,2024-03-05
67,1,1,0,0,,2024-02-08,
68,1,0,0,0,,2024-02-11,
69,1,1,0,0,,2024-06-04,
70,1,0,0,0,,2024-01-29,
71,1,0,0,0,,2024-06-19,
72,1,1,0,0,,2024-05-10,
73,1,1,0,0,,2024-05-17,
74,1,0,0,0,,2024-05-21,
75,1,1,1,0,spot,2024-06-23,2024-06-25
76,1,0,0,0,,2024-02-11,
77,1,0,0,0,,2024-04-03,
78,1,1,0,0,,2024-06-08,
79,1,1,1,0,spot,2024-02-01,2024-02-02
80,1,1,1,1,spot,2024-06-18,2024-06-28
